id,user,session_identifier,type,laboratory,reservation_start,use_start,utc_use_end,reservation_start_timestamp,use_start_timestamp,utc_use_end_timestamp,time_to_start,highest_position_in_queue,duration,timezone_minutes
1,Equipo1_1,Confidential,ide,fpga altera,2022-09-15T17:35:11,2022-09-15T17:35:11,2022-09-15T17:43:22,1663256111.0,1663256111.0,1663256602.0,0.0,,491.0,300
2,Equipo6_1,Confidential,ide,fpga altera,2022-09-15T17:36:28,2022-09-15T17:36:29,2022-09-15T17:54:40,1663256188.0,1663256189.0,1663257280.0,1.0,,1091.0,300
3,Grupo5_2,Confidential,ide,fpga altera,2022-09-15T17:38:20,2022-09-15T17:38:20,2022-09-15T17:58:31,1663256300.0,1663256300.0,1663257511.0,0.0,,1211.0,300
4,Equipo4_1,Confidential,ide,fpga altera,2022-09-15T17:38:20,2022-09-15T17:38:21,2022-09-15T18:04:32,1663256300.0,1663256301.0,1663257872.0,1.0,,1571.0,300
5,Equipo2_1,Confidential,ide,fpga altera,2022-09-15T17:38:23,2022-09-15T17:38:23,2022-09-15T18:00:34,1663256303.0,1663256303.0,1663257634.0,0.0,,1331.0,300
6,Equipo4_1,Confidential,aggregator,fpga altera,2022-09-15T17:40:14,2022-09-15T17:40:21,2022-09-15T17:43:59,1663256414.0,1663256421.0,1663256639.0,7.0,0,218.0,300
7,Equipo4_1,Confidential,realtime,fpga altera,2022-09-15T17:40:16,2022-09-15T17:40:20,2022-09-15T17:43:56,1663256416.0,1663256420.0,1663256636.0,4.0,0,216.0,300
8,Equipo6_1,Confidential,aggregator,fpga altera,2022-09-15T17:40:26,2022-09-15T17:40:29,2022-09-15T17:43:06,1663256426.0,1663256429.0,1663256586.0,3.0,,157.0,300
9,Equipo6_1,Confidential,realtime,fpga altera,2022-09-15T17:40:27,2022-09-15T17:40:29,2022-09-15T17:43:03,1663256427.0,1663256429.0,1663256583.0,2.0,0,154.0,300
10,Equipo2_1,Confidential,aggregator,fpga altera,2022-09-15T17:40:27,2022-09-15T17:40:34,2022-09-15T17:43:39,1663256427.0,1663256434.0,1663256619.0,7.0,0,185.0,300
12,Equipo2_1,Confidential,realtime,fpga altera,2022-09-15T17:40:30,2022-09-15T17:40:33,2022-09-15T17:43:37,1663256430.0,1663256433.0,1663256617.0,3.0,0,184.0,300
13,Grupo5_2,Confidential,aggregator,fpga altera,2022-09-15T17:40:32,2022-09-15T17:40:35,2022-09-15T17:43:11,1663256432.0,1663256435.0,1663256591.0,3.0,,156.0,300
14,Equipo1_1,Confidential,aggregator,fpga altera,2022-09-15T17:40:32,2022-09-15T17:40:39,2022-09-15T17:41:53,1663256432.0,1663256439.0,1663256513.0,7.0,0,74.0,300
15,Grupo5_2,Confidential,realtime,fpga altera,2022-09-15T17:40:33,2022-09-15T17:40:34,2022-09-15T17:43:08,1663256433.0,1663256434.0,1663256588.0,1.0,0,154.0,300
17,Equipo1_1,Confidential,realtime,fpga altera,2022-09-15T17:40:36,2022-09-15T17:40:38,2022-09-15T17:41:50,1663256436.0,1663256438.0,1663256510.0,2.0,0,72.0,300
18,Equipo3_2,Confidential,ide,fpga altera,2022-09-15T17:40:42,2022-09-15T17:40:42,2022-09-15T17:54:53,1663256442.0,1663256442.0,1663257293.0,0.0,,851.0,300
19,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-15T17:42:31,2022-09-15T17:42:35,2022-09-15T17:43:17,1663256551.0,1663256555.0,1663256597.0,4.0,0,42.0,300
20,Equipo3_2,Confidential,realtime,fpga altera,2022-09-15T17:42:31,2022-09-15T17:42:33,2022-09-15T17:43:16,1663256551.0,1663256553.0,1663256596.0,2.0,0,43.0,300
21,Equipo1_1,Confidential,ide,fpga altera,2022-09-15T17:44:51,2022-09-15T17:44:51,2022-09-15T18:01:02,1663256691.0,1663256691.0,1663257662.0,0.0,,971.0,300
22,Equipo2_3,Confidential,ide,fpga altera,2022-09-29T04:20:09,2022-09-29T04:20:09,2022-09-29T05:06:24,1664418009.0,1664418009.0,1664420784.0,0.0,,2775.0,300
23,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T04:29:39,2022-09-29T04:29:44,2022-09-29T04:30:46,1664418579.0,1664418584.0,1664418646.0,5.0,0,62.0,300
24,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T04:29:41,2022-09-29T04:29:43,2022-09-29T04:30:45,1664418581.0,1664418583.0,1664418645.0,2.0,0,62.0,300
25,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T05:02:15,2022-09-29T05:02:18,2022-09-29T05:03:53,1664420535.0,1664420538.0,1664420633.0,3.0,,95.0,300
26,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T05:02:16,2022-09-29T05:02:18,2022-09-29T05:03:51,1664420536.0,1664420538.0,1664420631.0,2.0,0,93.0,300
27,Equipo2_3,Confidential,ide,fpga altera,2022-09-29T05:04:29,2022-09-29T05:04:30,2022-09-29T05:30:42,1664420669.0,1664420670.0,1664422242.0,1.0,,1572.0,300
28,Equipo3_2,Confidential,ide,fpga altera,2022-09-29T15:13:08,2022-09-29T15:13:08,2022-09-29T15:21:19,1664457188.0,1664457188.0,1664457679.0,0.0,,491.0,300
29,Equipo2_2,Confidential,ide,fpga altera,2022-09-29T15:32:55,2022-09-29T15:32:56,2022-09-29T15:53:08,1664458375.0,1664458376.0,1664459588.0,1.0,,1212.0,300
30,Equipo2_2,Confidential,aggregator,fpga altera,2022-09-29T15:35:07,2022-09-29T15:35:13,2022-09-29T15:37:52,1664458507.0,1664458513.0,1664458672.0,6.0,0,159.0,300
32,Equipo2_2,Confidential,realtime,fpga altera,2022-09-29T15:35:10,2022-09-29T15:35:13,2022-09-29T15:37:47,1664458510.0,1664458513.0,1664458667.0,3.0,0,154.0,300
33,Equipo2_3,Confidential,ide,fpga altera,2022-09-29T16:21:35,2022-09-29T16:21:35,2022-09-29T16:23:46,1664461295.0,1664461295.0,1664461426.0,0.0,,131.0,300
34,Equipo2_3,Confidential,ide,fpga altera,2022-09-29T16:22:51,2022-09-29T16:22:52,2022-09-29T18:05:13,1664461371.0,1664461372.0,1664467513.0,1.0,,6141.0,300
35,Equipo3_2,Confidential,ide,fpga altera,2022-09-29T16:24:02,2022-09-29T16:24:03,2022-09-29T16:26:13,1664461442.0,1664461443.0,1664461573.0,1.0,,130.0,300
36,Equipo3_3,Confidential,ide,fpga altera,2022-09-29T16:24:18,2022-09-29T16:24:18,2022-09-29T16:40:30,1664461458.0,1664461458.0,1664462430.0,0.0,,972.0,300
37,Equipo3_3,Confidential,aggregator,fpga altera,2022-09-29T16:24:55,2022-09-29T16:25:01,2022-09-29T16:28:36,1664461495.0,1664461501.0,1664461716.0,6.0,0,215.0,300
39,Equipo3_3,Confidential,realtime,fpga altera,2022-09-29T16:24:57,2022-09-29T16:25:00,2022-09-29T16:28:35,1664461497.0,1664461500.0,1664461715.0,3.0,0,215.0,300
40,Equipo3_2,Confidential,ide,fpga altera,2022-09-29T16:25:33,2022-09-29T16:25:34,2022-09-29T18:11:58,1664461533.0,1664461534.0,1664467918.0,1.0,,6384.0,300
41,Equipo1_1,Confidential,ide,fpga altera,2022-09-29T16:25:49,2022-09-29T16:25:49,2022-09-29T16:32:00,1664461549.0,1664461549.0,1664461920.0,0.0,,371.0,300
42,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T16:26:04,2022-09-29T16:26:08,2022-09-29T16:27:22,1664461564.0,1664461568.0,1664461642.0,4.0,0,74.0,300
43,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T16:26:04,2022-09-29T16:26:07,2022-09-29T16:27:19,1664461564.0,1664461567.0,1664461639.0,3.0,0,72.0,300
44,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T16:27:47,2022-09-29T16:27:51,2022-09-29T16:28:57,1664461667.0,1664461671.0,1664461737.0,4.0,,66.0,300
45,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T16:27:47,2022-09-29T16:27:51,2022-09-29T16:28:55,1664461667.0,1664461671.0,1664461735.0,4.0,0,64.0,300
46,Equipo5_1,Confidential,ide,fpga altera,2022-09-29T16:29:55,2022-09-29T16:29:55,2022-09-29T17:06:10,1664461795.0,1664461795.0,1664463970.0,0.0,,2175.0,300
47,Equipo6_2,Confidential,ide,fpga altera,2022-09-29T16:30:26,2022-09-29T16:30:26,2022-09-29T16:32:36,1664461826.0,1664461826.0,1664461956.0,0.0,,130.0,300
48,Equipo5_1,Confidential,aggregator,fpga altera,2022-09-29T16:33:05,2022-09-29T16:33:10,2022-09-29T16:34:44,1664461985.0,1664461990.0,1664462084.0,5.0,0,94.0,300
49,Equipo5_1,Confidential,realtime,fpga altera,2022-09-29T16:33:07,2022-09-29T16:33:09,2022-09-29T16:34:43,1664461987.0,1664461989.0,1664462083.0,2.0,0,94.0,300
50,Equipo4_2,Confidential,ide,fpga altera,2022-09-29T16:34:13,2022-09-29T16:34:14,2022-09-29T16:46:25,1664462053.0,1664462054.0,1664462785.0,1.0,,731.0,300
51,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T16:35:13,2022-09-29T16:35:20,2022-09-29T16:39:00,1664462113.0,1664462120.0,1664462340.0,7.0,,220.0,300
53,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T16:35:17,2022-09-29T16:35:20,2022-09-29T16:38:55,1664462117.0,1664462120.0,1664462335.0,3.0,0,215.0,300
54,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T16:46:27,2022-09-29T16:46:31,2022-09-29T16:48:39,1664462787.0,1664462791.0,1664462919.0,4.0,0,128.0,300
55,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T16:46:28,2022-09-29T16:46:30,2022-09-29T16:48:34,1664462788.0,1664462790.0,1664462914.0,2.0,0,124.0,300
56,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T16:55:00,2022-09-29T16:55:04,2022-09-29T16:55:51,1664463300.0,1664463304.0,1664463351.0,4.0,0,47.0,300
57,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T16:55:01,2022-09-29T16:55:03,2022-09-29T16:55:46,1664463301.0,1664463303.0,1664463346.0,2.0,0,43.0,300
58,Equipo2_2,Confidential,ide,fpga altera,2022-09-29T16:55:47,2022-09-29T16:55:48,2022-09-29T17:16:00,1664463347.0,1664463348.0,1664464560.0,1.0,,1212.0,300
59,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T16:56:32,2022-09-29T16:56:38,2022-09-29T16:57:21,1664463392.0,1664463398.0,1664463441.0,6.0,0,43.0,300
61,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T16:56:35,2022-09-29T16:56:37,2022-09-29T16:57:20,1664463395.0,1664463397.0,1664463440.0,2.0,0,43.0,300
62,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T16:59:06,2022-09-29T16:59:10,2022-09-29T17:00:13,1664463546.0,1664463550.0,1664463613.0,4.0,0,63.0,300
63,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T16:59:07,2022-09-29T16:59:09,2022-09-29T17:00:12,1664463547.0,1664463549.0,1664463612.0,2.0,0,63.0,300
64,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T17:05:21,2022-09-29T17:05:24,2022-09-29T17:07:22,1664463921.0,1664463924.0,1664464042.0,3.0,,118.0,300
65,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T17:05:21,2022-09-29T17:05:23,2022-09-29T17:07:17,1664463921.0,1664463923.0,1664464037.0,2.0,0,114.0,300
66,Equipo2_2,Confidential,ide,fpga altera,2022-09-29T17:06:39,2022-09-29T17:06:39,2022-09-29T18:08:58,1664463999.0,1664463999.0,1664467738.0,0.0,,3739.0,300
67,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T17:08:51,2022-09-29T17:08:55,2022-09-29T17:11:00,1664464131.0,1664464135.0,1664464260.0,4.0,0,125.0,300
68,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T17:08:52,2022-09-29T17:08:54,2022-09-29T17:10:59,1664464132.0,1664464134.0,1664464259.0,2.0,0,125.0,300
69,Equipo2_2,Confidential,aggregator,fpga altera,2022-09-29T17:09:58,2022-09-29T17:10:05,2022-09-29T17:11:42,1664464198.0,1664464205.0,1664464302.0,7.0,0,97.0,300
71,Equipo2_2,Confidential,realtime,fpga altera,2022-09-29T17:10:01,2022-09-29T17:10:05,2022-09-29T17:11:38,1664464201.0,1664464205.0,1664464298.0,4.0,0,93.0,300
72,Equipo2_2,Confidential,aggregator,fpga altera,2022-09-29T17:13:38,2022-09-29T17:13:40,2022-09-29T17:16:17,1664464418.0,1664464420.0,1664464577.0,2.0,,157.0,300
73,Equipo2_2,Confidential,realtime,fpga altera,2022-09-29T17:13:38,2022-09-29T17:13:40,2022-09-29T17:16:13,1664464418.0,1664464420.0,1664464573.0,2.0,0,153.0,300
74,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:17:59,2022-09-29T17:18:04,2022-09-29T17:20:40,1664464679.0,1664464684.0,1664464840.0,5.0,0,156.0,300
75,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:18:00,2022-09-29T17:18:03,2022-09-29T17:20:37,1664464680.0,1664464683.0,1664464837.0,3.0,0,154.0,300
76,Equipo2_3,Confidential,aggregator,fpga altera,2022-09-29T17:18:09,2022-09-29T17:18:17,2022-09-29T17:19:24,1664464689.0,1664464697.0,1664464764.0,8.0,0,67.0,300
78,Equipo2_3,Confidential,realtime,fpga altera,2022-09-29T17:18:12,2022-09-29T17:18:15,2022-09-29T17:19:21,1664464692.0,1664464695.0,1664464761.0,3.0,0,66.0,300
79,Equipo1_1,Confidential,ide,fpga altera,2022-09-29T17:19:39,2022-09-29T17:19:40,2022-09-29T17:33:52,1664464779.0,1664464780.0,1664465632.0,1.0,,852.0,300
80,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:20:43,2022-09-29T17:20:48,2022-09-29T17:22:01,1664464843.0,1664464848.0,1664464921.0,5.0,0,73.0,300
81,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:20:45,2022-09-29T17:20:47,2022-09-29T17:22:00,1664464845.0,1664464847.0,1664464920.0,2.0,0,73.0,300
82,Equipo2_1,Confidential,ide,fpga altera,2022-09-29T17:21:03,2022-09-29T17:21:04,2022-09-29T18:11:20,1664464863.0,1664464864.0,1664467880.0,1.0,,3016.0,300
83,Equipo2_1,Confidential,aggregator,fpga altera,2022-09-29T17:22:43,2022-09-29T17:22:50,2022-09-29T17:24:36,1664464963.0,1664464970.0,1664465076.0,7.0,0,106.0,300
85,Equipo2_1,Confidential,realtime,fpga altera,2022-09-29T17:22:47,2022-09-29T17:22:49,2022-09-29T17:24:35,1664464967.0,1664464969.0,1664465075.0,2.0,0,106.0,300
86,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:23:24,2022-09-29T17:23:41,2022-09-29T17:24:54,1664465004.0,1664465021.0,1664465094.0,17.0,0,73.0,300
89,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:23:37,2022-09-29T17:23:39,2022-09-29T17:24:53,1664465017.0,1664465019.0,1664465093.0,2.0,0,74.0,300
90,Equipo2_1,Confidential,aggregator,fpga altera,2022-09-29T17:26:45,2022-09-29T17:26:52,2022-09-29T17:30:16,1664465205.0,1664465212.0,1664465416.0,7.0,0,204.0,300
92,Equipo2_1,Confidential,realtime,fpga altera,2022-09-29T17:26:48,2022-09-29T17:26:51,2022-09-29T17:30:15,1664465208.0,1664465211.0,1664465415.0,3.0,0,204.0,300
93,Equipo6_2,Confidential,ide,fpga altera,2022-09-29T17:30:08,2022-09-29T17:30:09,2022-09-29T18:12:24,1664465408.0,1664465409.0,1664467944.0,1.0,,2535.0,300
94,Equipo1_1,Confidential,ide,fpga altera,2022-09-29T17:32:38,2022-09-29T17:32:38,2022-09-29T17:42:49,1664465558.0,1664465558.0,1664466169.0,0.0,,611.0,300
95,Equipo1_1,Confidential,ide,fpga altera,2022-09-29T17:32:46,2022-09-29T17:32:46,2022-09-29T17:52:59,1664465566.0,1664465566.0,1664466779.0,0.0,,1213.0,300
96,Equipo6_2,Confidential,aggregator,fpga altera,2022-09-29T17:42:20,2022-09-29T17:42:24,2022-09-29T17:46:02,1664466140.0,1664466144.0,1664466362.0,4.0,,218.0,300
97,Equipo6_2,Confidential,realtime,fpga altera,2022-09-29T17:42:20,2022-09-29T17:42:23,2022-09-29T17:45:58,1664466140.0,1664466143.0,1664466358.0,3.0,0,215.0,300
98,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:45:19,2022-09-29T17:45:22,2022-09-29T17:46:36,1664466319.0,1664466322.0,1664466396.0,3.0,0,74.0,300
99,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:45:19,2022-09-29T17:45:21,2022-09-29T17:46:34,1664466319.0,1664466321.0,1664466394.0,2.0,0,73.0,300
100,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:47:08,2022-09-29T17:47:12,2022-09-29T17:49:08,1664466428.0,1664466432.0,1664466548.0,4.0,0,116.0,300
101,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:47:09,2022-09-29T17:47:11,2022-09-29T17:49:06,1664466429.0,1664466431.0,1664466546.0,2.0,0,115.0,300
102,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:50:02,2022-09-29T17:50:06,2022-09-29T17:52:04,1664466602.0,1664466606.0,1664466724.0,4.0,0,118.0,300
103,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:50:03,2022-09-29T17:50:06,2022-09-29T17:51:59,1664466603.0,1664466606.0,1664466719.0,3.0,0,113.0,300
104,Equipo6_2,Confidential,aggregator,fpga altera,2022-09-29T17:50:07,2022-09-29T17:50:14,2022-09-29T17:52:50,1664466607.0,1664466614.0,1664466770.0,7.0,0,156.0,300
106,Equipo6_2,Confidential,realtime,fpga altera,2022-09-29T17:50:09,2022-09-29T17:50:13,2022-09-29T17:52:47,1664466609.0,1664466613.0,1664466767.0,4.0,0,154.0,300
107,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:55:07,2022-09-29T17:55:15,2022-09-29T17:57:10,1664466907.0,1664466915.0,1664467030.0,8.0,0,115.0,300
109,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:55:11,2022-09-29T17:55:14,2022-09-29T17:57:07,1664466911.0,1664466914.0,1664467027.0,3.0,0,113.0,300
110,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T17:57:52,2022-09-29T17:57:58,2022-09-29T17:58:29,1664467072.0,1664467078.0,1664467109.0,6.0,0,31.0,300
112,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T17:57:54,2022-09-29T17:57:56,2022-09-29T17:58:29,1664467074.0,1664467076.0,1664467109.0,2.0,0,33.0,300
113,Equipo6_2,Confidential,aggregator,fpga altera,2022-09-29T17:59:53,2022-09-29T18:00:05,2022-09-29T18:01:37,1664467193.0,1664467205.0,1664467297.0,12.0,0,92.0,300
115,Equipo6_2,Confidential,realtime,fpga altera,2022-09-29T17:59:56,2022-09-29T18:00:01,2022-09-29T18:01:34,1664467196.0,1664467201.0,1664467294.0,5.0,0,93.0,300
116,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T18:00:56,2022-09-29T18:01:02,2022-09-29T18:01:56,1664467256.0,1664467262.0,1664467316.0,6.0,0,54.0,300
117,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T18:00:57,2022-09-29T18:01:02,2022-09-29T18:01:54,1664467257.0,1664467262.0,1664467314.0,5.0,0,52.0,300
118,Equipo3_2,Confidential,ide,fpga altera,2022-09-29T19:01:39,2022-09-29T19:01:40,2022-09-29T19:21:51,1664470899.0,1664470900.0,1664472111.0,1.0,,1211.0,300
119,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T19:03:14,2022-09-29T19:03:19,2022-09-29T19:04:32,1664470994.0,1664470999.0,1664471072.0,5.0,,73.0,300
120,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T19:03:15,2022-09-29T19:03:18,2022-09-29T19:04:31,1664470995.0,1664470998.0,1664471071.0,3.0,0,73.0,300
121,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T19:05:52,2022-09-29T19:05:56,2022-09-29T19:07:31,1664471152.0,1664471156.0,1664471251.0,4.0,0,95.0,300
122,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T19:05:53,2022-09-29T19:05:55,2022-09-29T19:07:28,1664471153.0,1664471155.0,1664471248.0,2.0,0,93.0,300
123,Equipo3_2,Confidential,aggregator,fpga altera,2022-09-29T19:09:17,2022-09-29T19:09:22,2022-09-29T19:10:04,1664471357.0,1664471362.0,1664471404.0,5.0,0,42.0,300
124,Equipo3_2,Confidential,realtime,fpga altera,2022-09-29T19:09:19,2022-09-29T19:09:21,2022-09-29T19:10:04,1664471359.0,1664471361.0,1664471404.0,2.0,0,43.0,300
125,Equipo6_2,Confidential,ide,fpga altera,2022-09-30T04:24:37,2022-09-30T04:24:37,2022-09-30T04:36:49,1664504677.0,1664504677.0,1664505409.0,0.0,,732.0,300
126,Equipo6_2,Confidential,aggregator,fpga altera,2022-09-30T04:24:53,2022-09-30T04:24:57,2022-09-30T04:26:21,1664504693.0,1664504697.0,1664504781.0,4.0,0,84.0,300
127,Equipo6_2,Confidential,realtime,fpga altera,2022-09-30T04:24:54,2022-09-30T04:24:56,2022-09-30T04:26:21,1664504694.0,1664504696.0,1664504781.0,2.0,0,85.0,300
128,Equipo3_2,Confidential,ide,fpga altera,2022-10-03T14:34:03,2022-10-03T14:34:04,2022-10-03T14:44:15,1664800443.0,1664800444.0,1664801055.0,1.0,,611.0,300
129,Equipo3_1,Confidential,ide,fpga altera,2022-10-03T14:36:42,2022-10-03T14:36:42,2022-10-03T16:45:07,1664800602.0,1664800602.0,1664808307.0,0.0,,7705.0,300
130,Equipo3_1,Confidential,aggregator,fpga altera,2022-10-03T14:42:09,2022-10-03T14:42:14,2022-10-03T14:43:17,1664800929.0,1664800934.0,1664800997.0,5.0,0,63.0,300
131,Equipo3_1,Confidential,realtime,fpga altera,2022-10-03T14:42:10,2022-10-03T14:42:13,2022-10-03T14:43:16,1664800930.0,1664800933.0,1664800996.0,3.0,0,63.0,300
132,Equipo3_1,Confidential,aggregator,fpga altera,2022-10-03T14:53:07,2022-10-03T14:53:12,2022-10-03T14:55:39,1664801587.0,1664801592.0,1664801739.0,5.0,,147.0,300
133,Equipo3_1,Confidential,realtime,fpga altera,2022-10-03T14:53:08,2022-10-03T14:53:12,2022-10-03T14:55:36,1664801588.0,1664801592.0,1664801736.0,4.0,0,144.0,300
134,Equipo2_3,Confidential,ide,fpga altera,2022-10-05T23:46:32,2022-10-05T23:46:32,2022-10-06T01:40:52,1665006392.0,1665006392.0,1665013252.0,0.0,,6860.0,300
135,Equipo2_3,Confidential,aggregator,fpga altera,2022-10-06T01:09:22,2022-10-06T01:09:28,2022-10-06T01:10:51,1665011362.0,1665011368.0,1665011451.0,6.0,0,83.0,300
137,Equipo2_3,Confidential,realtime,fpga altera,2022-10-06T01:09:24,2022-10-06T01:09:26,2022-10-06T01:10:49,1665011364.0,1665011366.0,1665011449.0,2.0,0,83.0,300
138,Equipo2_3,Confidential,aggregator,fpga altera,2022-10-06T01:12:55,2022-10-06T01:12:59,2022-10-06T01:14:15,1665011575.0,1665011579.0,1665011655.0,4.0,0,76.0,300
139,Equipo2_3,Confidential,realtime,fpga altera,2022-10-06T01:12:56,2022-10-06T01:12:58,2022-10-06T01:14:11,1665011576.0,1665011578.0,1665011651.0,2.0,0,73.0,300
140,Equipo2_3,Confidential,ide,fpga altera,2022-10-06T02:09:12,2022-10-06T02:09:12,2022-10-06T02:25:24,1665014952.0,1665014952.0,1665015924.0,0.0,,972.0,300
141,Equipo2_3,Confidential,aggregator,fpga altera,2022-10-06T02:09:24,2022-10-06T02:09:28,2022-10-06T02:09:54,1665014964.0,1665014968.0,1665014994.0,4.0,,26.0,300
143,Equipo2_3,Confidential,realtime,fpga altera,2022-10-06T02:09:26,2022-10-06T02:09:28,2022-10-06T02:09:50,1665014966.0,1665014968.0,1665014990.0,2.0,0,22.0,300
144,Equipo2_3,Confidential,aggregator,fpga altera,2022-10-06T02:10:52,2022-10-06T02:10:56,2022-10-06T02:14:33,1665015052.0,1665015056.0,1665015273.0,4.0,0,217.0,300
145,Equipo2_3,Confidential,realtime,fpga altera,2022-10-06T02:10:52,2022-10-06T02:10:55,2022-10-06T02:14:29,1665015052.0,1665015055.0,1665015269.0,3.0,0,214.0,300
146,Equipo6_2,Confidential,ide,fpga altera,2022-10-06T13:16:57,2022-10-06T13:16:58,2022-10-06T14:21:13,1665055017.0,1665055018.0,1665058873.0,1.0,,3855.0,300
147,Equipo6_2,Confidential,aggregator,fpga altera,2022-10-06T13:36:55,2022-10-06T13:37:02,2022-10-06T13:39:39,1665056215.0,1665056222.0,1665056379.0,7.0,0,157.0,300
149,Equipo6_2,Confidential,realtime,fpga altera,2022-10-06T13:36:58,2022-10-06T13:37:00,2022-10-06T13:39:35,1665056218.0,1665056220.0,1665056375.0,2.0,0,155.0,300
150,Equipo6_2,Confidential,ide,fpga altera,2022-10-06T16:20:31,2022-10-06T16:20:31,2022-10-06T18:04:50,1665066031.0,1665066031.0,1665072290.0,0.0,,6259.0,300
151,Equipo6_2,Confidential,aggregator,fpga altera,2022-10-06T16:20:40,2022-10-06T16:20:46,2022-10-06T16:23:20,1665066040.0,1665066046.0,1665066200.0,6.0,,154.0,300
153,Equipo6_2,Confidential,realtime,fpga altera,2022-10-06T16:20:45,2022-10-06T16:20:46,2022-10-06T16:23:20,1665066045.0,1665066046.0,1665066200.0,1.0,0,154.0,300
154,Equipo3_2,Confidential,ide,fpga altera,2022-10-06T16:24:48,2022-10-06T16:24:48,2022-10-06T17:01:01,1665066288.0,1665066288.0,1665068461.0,0.0,,2173.0,300
155,Equipo3_1,Confidential,ide,fpga altera,2022-10-06T16:31:52,2022-10-06T16:31:53,2022-10-06T18:04:11,1665066712.0,1665066713.0,1665072251.0,1.0,,5538.0,300
156,Equipo2_2,Confidential,ide,fpga altera,2022-10-06T16:37:51,2022-10-06T16:37:52,2022-10-06T16:50:03,1665067071.0,1665067072.0,1665067803.0,1.0,,731.0,300
157,Equipo2_3,Confidential,ide,fpga altera,2022-10-06T16:38:45,2022-10-06T16:38:45,2022-10-06T17:18:58,1665067125.0,1665067125.0,1665069538.0,0.0,,2413.0,300
158,Equipo3_2,Confidential,ide,fpga altera,2022-10-06T17:26:14,2022-10-06T17:26:14,2022-10-06T17:58:28,1665069974.0,1665069974.0,1665071908.0,0.0,,1934.0,300
159,Equipo3_2,Confidential,aggregator,fpga altera,2022-10-06T17:37:35,2022-10-06T17:37:39,2022-10-06T17:40:46,1665070655.0,1665070659.0,1665070846.0,4.0,0,187.0,300
160,Equipo3_2,Confidential,realtime,fpga altera,2022-10-06T17:37:35,2022-10-06T17:37:38,2022-10-06T17:40:43,1665070655.0,1665070658.0,1665070843.0,3.0,0,185.0,300
161,Equipo3_2,Confidential,aggregator,fpga altera,2022-10-06T17:45:01,2022-10-06T17:45:05,2022-10-06T17:48:03,1665071101.0,1665071105.0,1665071283.0,4.0,,178.0,300
162,Equipo3_2,Confidential,realtime,fpga altera,2022-10-06T17:45:01,2022-10-06T17:45:05,2022-10-06T17:48:00,1665071101.0,1665071105.0,1665071280.0,4.0,0,175.0,300
163,Equipo4_2,Confidential,ide,fpga altera,2022-10-06T23:17:37,2022-10-06T23:17:38,2022-10-06T23:19:48,1665091057.0,1665091058.0,1665091188.0,1.0,,130.0,300
